hour,load
1091,95000
1092,192400
1093,9000
1094,160900
1095,164200
1096,17600
1097,107300
1098,144200
1099,152200
1100,125000
1101,106200
1102,90500
1103,260400
1104,281100
1105,305500
1106,317200
1107,302700
1108,170700
1109,175000
1110,320800
1111,345700
1112,355500
1113,5900
1114,311200
1115,290800
1116,248400
1117,-17000
1118,190400
1119,78700
1120,31300
1121,118600
1122,154800
1123,153200
1124,109200
1125,225800
1126,209100
1127,126100
1128,138200
1129,148600
1130,154700
1131,134600
1132,301300
1133,160600
1134,138700
1135,156900
1136,152700
1137,-124900
1138,115100
1139,100800
1140,179600
1141,-14100
1142,128600
1143,131800
1144,-41700
1145,85500
1146,103900
1147,13700
1148,-39800
1149,63000
1150,145200
1151,71100
1152,75000
1153,79300
1154,84600
1155,170500
1156,197500
1157,199400
1158,180000
1159,88900
1160,89800
1161,-157500
1162,57400
1163,47100
1164,32400
1165,-25300
1166,23200
1167,34000
1168,-36800
1169,3900
1170,122300
1171,21800
1172,-30500
1173,78000
1174,173700
1175,92300
1176,99600
1177,107200
1178,235400
1179,97000
1180,126100
1181,135000
1182,120200
1183,142500
1184,146900
1185,-57200
1186,246500
1187,94300
1188,191800
1189,-45200
1190,33800
1191,154200
1192,-32600
1193,116600
1194,32400
1195,31100
1196,-14500
1197,218100
1198,206400
1199,102000
1200,239500
1201,251000
1202,259900
1203,108500
1204,138500
1205,290600
1206,282200
1207,156300
1208,314100
1209,-25600
1210,142700
1211,135800
1212,106500
1213,-19200
1214,205800
1215,76300
1216,61100
1217,147400
1218,62900
1219,58000
1220,143100
1221,116900
1222,99600
1223,276300
1224,284000
1225,150400
1226,159600
1227,309600
1228,185400
1229,361700
1230,350000
1231,375000
1232,378300
1233,-81700
1234,159000
1235,138900
1236,101400
1237,-25700
1238,191200
1239,185500
1240,31900
1241,10000
1242,157200
1243,159100
1244,-5200
1245,97600
1246,79800
1247,248500
1248,273300
1249,289200
1250,299500
1251,289500
1252,322600
1253,171400
1254,311100
1255,326500
1256,323700
1257,-29100
1258,128300
1259,113700
1260,81000
1261,13600
1262,168700
1263,75100
1264,5100
1265,127800
1266,162800
1267,171500
1268,29000
1269,149800
1270,283300
1271,169800
1272,179200
1273,188100
1274,360700
1275,342800
1276,205600
1277,213900
1278,375800
1279,405700
1280,417800
1281,-50200
1282,202300
1283,186300
1284,150600
1285,109900
1286,268400
1287,271300
1288,125000
1289,42600
1290,253700
1291,257200
1292,217500
1293,170400
1294,153000
1295,195800
1296,393500
1297,220700
1298,233400
1299,217900
1300,242600
1301,251700
1302,433400
1303,451800
1304,446000
1305,-36600
1306,213600
1307,202600
1308,174100
1309,29000
1310,134100
1311,275600
1312,66000
1313,50900
1314,114800
1315,222700
1316,177900
1317,150800
1318,121400
1319,279000
1320,281400
1321,156800
1322,159200
1323,140600
1324,316000
1325,329300
1326,164500
1327,334100
1328,333300
1329,-25000
1330,144900
1331,136400
1332,102900
1333,41500
1334,77900
1335,102800
1336,34700
1337,170300
1338,227900
1339,83600
1340,194100
1341,157500
1342,281600
1343,173400
1344,189300
1345,202300
1346,386400
1347,197400
1348,227400
1349,233100
1350,400000
1351,427700
1352,435600
1353,-40800
1354,203300
1355,177000
1356,136000
1357,93100
1358,260400
1359,265200
1360,115500
1361,38700
1362,240300
1363,240400
1364,207800
1365,162700
1366,139300
1367,175100
1368,189600
1369,198400
1370,384400
1371,378500
1372,401100
1373,218700
1374,374900
1375,399200
1376,398500
1377,34900
1378,172800
1379,161000
1380,136700
1381,-3100
1382,221700
1383,221900
1384,24800
1385,138300
1386,65700
1387,59300
1388,142500
1389,257600
1390,110200
1391,279700
1392,293300
1393,162300
1394,162600
1395,283500
1396,310900
1397,321600
1398,318200
1399,341600
1400,331600
1401,-27900
1402,136900
1403,104300
1404,67800
1405,-1900
1406,143700
1407,42500
1408,-32600
1409,95900
1410,19700
1411,112600
1412,64000
1413,163000
1414,44900
1415,164700
1416,70500
1417,76600
1418,190500
1419,73200
1420,96600
1421,107400
1422,92200
1423,114000
1424,122900
1425,-133800
1426,93000
1427,82300
1428,196400
1429,-41400
1430,45000
1431,178400
1432,-18200
1433,125100
1434,40400
1435,36500
1436,-8300
1437,222900
1438,79700
1439,105600
1440,246800
1441,120300
1442,127600
1443,115400
1444,145400
1445,306500
1446,141200
1447,165300
1448,334500
1449,-100800
1450,133300
1451,117800
1452,92700
1453,44300
1454,68100
1455,206700
1456,56700
1457,133800
1458,180000
1459,51100
1460,151800
1461,124500
1462,256000
1463,279800
1464,138200
1465,150300
1466,340200
1467,158100
1468,360500
1469,380000
1470,365900
1471,394700
1472,400900
1473,45400
1474,164400
1475,142500
1476,102900
1477,39800
1478,60300
1479,64700
1480,-800
1481,149200
1482,59400
1483,55900
1484,148700
1485,118800
1486,240100
1487,265600
1488,276800
1489,298200
1490,317200
1491,309000
1492,180700
1493,189600
1494,339900
1495,366000
1496,373200
1497,12600
1498,302200
1499,255000
1500,71400
1501,-44600
1502,152200
1503,48000
1504,-25300
1505,117000
1506,40100
1507,35600
1508,-13300
1509,210300
1510,202000
1511,103600
1512,244600
1513,122800
1514,129000
1515,110500
1516,140900
1517,289700
1518,129900
1519,157500
1520,326600
1521,-27500
1522,115800
1523,98500
1524,70800
1525,16700
1526,42700
1527,171300
1528,-24800
1529,115100
1530,32600
1531,30500
1532,-17500
1533,209800
1534,198100
1535,96400
1536,229200
1537,105400
1538,107300
1539,93900
1540,113300
1541,116600
1542,102600
1543,116300
1544,121700
1545,-136800
1546,87500
1547,72300
1548,172700
1549,-3200
1550,153300
1551,46700
1552,18800
1553,6400
1554,166100
1555,41400
1556,135500
1557,108600
1558,96100
1559,274400
1560,135700
1561,147700
1562,157300
1563,306300
1564,179800
1565,364500
1566,347500
1567,370900
1568,379700
1569,28500
1570,157100
1571,138400
1572,106200
1573,56300
1574,222000
1575,84900
1576,9100
1577,19500
1578,68700
1579,204200
1580,22700
1581,132100
1582,285200
1583,326400
1584,348900
1585,369100
1586,197400
1587,184400
1588,213700
1589,219600
1590,391000
1591,420400
1592,431000
1593,-49400
1594,187100
1595,160200
1596,123000
1597,-9300
1598,84500
1599,101100
1600,36200
1601,43100
1602,94300
1603,217800
1604,40500
1605,149700
1606,280100
1607,318300
1608,176800
1609,192600
1610,370800
1611,187300
1612,219600
1613,226700
1614,392800
1615,424900
1616,431000
1617,-56900
1618,178200
1619,149800
1620,103800
1621,36800
1622,189700
1623,190100
1624,42600
1625,140200
1626,56500
1627,52300
1628,133600
1629,108100
1630,87900
1631,248100
1632,122300
1633,255300
1634,121200
1635,95300
1636,120800
1637,124000
1638,104200
1639,120000
1640,119700
1641,-142500
1642,86800
1643,80200
1644,62700
1645,2100
1646,50200
1647,180000
1648,44900
1649,134900
1650,59600
1651,45800
1652,1100
1653,221000
1654,79200
1655,110000
1656,120800
1657,129800
1658,249500
1659,99400
1660,120500
1661,127600
1662,116700
1663,141300
1664,140100
1665,-137200
1666,85800
